School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Stuyvesant High School,#4 Best Public High Schools in America,New York City Geographic District No. 2,NY,9-12,4.0,907,A+,"3,328",22:1,2019-03-19 01:01:35.256820
Staten Island Technical High School,#5 Best Public High Schools in America,New York City Geographic District No. 31,NY,9-12,4.5,590,A+,"1,278",22:1,2019-03-19 01:01:35.256848
Bronx High School of Science,#17 Best Public High Schools in America,New York City Geographic District No. 10,NY,9-12,4.0,789,A+,"3,011",22:1,2019-03-19 01:01:35.256863
Townsend Harris High School,#22 Best Public High Schools in America,New York City Geographic District No. 25,NY,9-12,4.0,542,A+,"1,132",21:1,2019-03-19 01:01:35.256875
Great Neck South High School,#28 Best Public High Schools in America,Great Neck Public Schools,NY,8-12,4.0,203,A+,"1,205",11:1,2019-03-19 01:01:35.256885
Jericho Senior High School,#34 Best Public High Schools in America,Jericho Union Free School District,NY,9-12,4.0,117,A+,"1,103",10:1,2019-03-19 01:01:35.256896
Scarsdale Senior High School,#60 Best Public High Schools in America,Scarsdale Union Free School District,NY,9-12,4.0,101,A+,"1,499",11:1,2019-03-19 01:01:35.256906
High School Math Science & Engineering at The City College of New York (CCNY),#73 Best Public High Schools in America,New York City Geographic District No. 5,NY,9-12,4.0,155,A+,476,16:1,2019-03-19 01:01:35.256916
Syosset Senior High School,#119 Best Public High Schools in America,Syosset Central School District,NY,9-12,4.0,311,A+,"2,085",10:1,2019-03-19 01:01:35.256940
Roslyn High School,#123 Best Public High Schools in America,Roslyn Union Free School District,NY,9-12,4.0,111,A+,"1,020",12:1,2019-03-19 01:01:35.256951
Brooklyn Technical High School,#126 Best Public High Schools in America,New York City Geographic District No. 13,NY,9-12,4.0,"1,739",A+,"5,534",23:1,2019-03-19 01:01:35.256961
Horace Greeley High School,#153 Best Public High Schools in America,Chappaqua Central School District,NY,9-12,3.5,101,A+,"1,285",12:1,2019-03-19 01:01:35.257080
Bard High School Early College Queens,#154 Best Public High Schools in America,New York City Geographic District No. 24,NY,9-12,4.0,312,A+,600,18:1,2019-03-19 01:01:35.257111
Great Neck North High School,#157 Best Public High Schools in America,Great Neck Public Schools,NY,9-12,4.0,90,A+,"1,088",11:1,2019-03-19 01:01:35.257121
Mamaroneck High School,#159 Best Public High Schools in America,Mamaroneck Union Free School District,NY,9-12,4.0,127,A+,"1,519",14:1,2019-03-19 01:01:35.257128
Rye High School,#166 Best Public High Schools in America,Rye City School District,NY,9-12,4.0,68,A+,975,15:1,2019-03-19 01:01:35.257136
High School of American Studies at Lehman College,#167 Best Public High Schools in America,New York City Geographic District No. 10,NY,9-12,4.0,105,A+,370,15:1,2019-03-19 01:01:35.257143
Baccalaureate School for Global Education,#169 Best Public High Schools in America,New York City Geographic District No. 30,NY,7-12,4.0,173,A+,487,16:1,2019-03-19 01:01:35.257150
Pittsford-Mendon High School,#172 Best Public High Schools in America,Pittsford Central School District,NY,9-12,4.0,152,A+,990,13:1,2019-03-19 01:01:35.257158
Robert Seaman Elementary School,#8 Best Public Elementary Schools in America,Jericho Union Free School District,NY,K-5,nan,nan,A+,333,10:1,2019-03-19 01:01:35.257166
Pittsford Sutherland High School,#195 Best Public High Schools in America,Pittsford Central School District,NY,9-12,4.0,210,A+,931,13:1,2019-03-19 01:01:35.257174
Brighton High School,#197 Best Public High Schools in America,Brighton Central School District,NY,9-12,4.0,235,A+,"1,123",11:1,2019-03-19 01:01:35.257180
Cantiague Elementary School,#10 Best Public Elementary Schools in America,Jericho Union Free School District,NY,K-5,nan,nan,A+,405,13:1,2019-03-19 01:01:35.257187
Jericho Middle School,#16 Best Public Middle Schools in America,Jericho Union Free School District,NY,6-8,nan,nan,A+,701,13:1,2019-03-19 01:01:35.257194
George A Jackson School,#12 Best Public Elementary Schools in America,Jericho Union Free School District,NY,K-5,nan,nan,A+,432,10:1,2019-03-19 01:01:35.257201
Herricks High School,#221 Best Public High Schools in America,Herricks Union Free School District,NY,9-12,4.0,136,A+,"1,326",14:1,2019-03-19 01:01:35.257208
Manhasset Secondary School,#225 Best Public High Schools in America,Manhasset Union Free School District,NY,9-12,4.0,59,A+,"1,122",12:1,2019-03-19 01:01:35.257215
Great Neck South Middle School,#17 Best Public Middle Schools in America,Great Neck Public Schools,NY,6-8,4.5,6,A+,795,10:1,2019-03-19 01:01:35.257222
Queens High School for the Sciences at York College,#243 Best Public High Schools in America,New York City Geographic District No. 28,NY,9-12,4.0,148,A+,434,18:1,2019-03-19 01:01:35.257230
Lakeville Elementary School,#13 Best Public Elementary Schools in America,Great Neck Public Schools,NY,K-5,4.5,2,A+,729,11:1,2019-03-19 01:01:35.257237
Eleanor Roosevelt High School,#278 Best Public High Schools in America,New York City Geographic District No. 2,NY,9-12,4.0,121,A+,554,17:1,2019-03-19 01:01:35.257245
South Grove Elementary School,#14 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,398,13:1,2019-03-19 01:01:35.257252
EM Baker School,#15 Best Public Elementary Schools in America,Great Neck Public Schools,NY,K-5,5.0,1,A+,624,11:1,2019-03-19 01:01:35.257258
Byram Hills High School,#283 Best Public High Schools in America,Byram Hills Central School District,NY,9-12,4.0,106,A+,870,11:1,2019-03-19 01:01:35.257265
Village Elementary School,#20 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,366,12:1,2019-03-19 01:01:35.257271
John Jay High School,#304 Best Public High Schools in America,Katonah-Lewisboro Union Free School District,NY,9-12,4.0,97,A+,"1,098",13:1,2019-03-19 01:01:35.257278
Paul D Schreiber Senior High School,#308 Best Public High Schools in America,Port Washington Union Free School District,NY,9-12,4.0,204,A+,"1,594",14:1,2019-03-19 01:01:35.257285
Williamsville East High School,#314 Best Public High Schools in America,Williamsville Central School District,NY,9-12,4.0,230,A+,"1,054",15:1,2019-03-19 01:01:35.257292
Fox Lane High School,#315 Best Public High Schools in America,Bedford Central School District,NY,9-12,4.0,179,A+,"1,428",15:1,2019-03-19 01:01:35.257298
Edgemont Junior/Senior High School,#317 Best Public High Schools in America,Edgemont Union Free School District,NY,7-12,4.0,82,A+,906,13:1,2019-03-19 01:01:35.257320
HB Thompson Middle School,#26 Best Public Middle Schools in America,Syosset Central School District,NY,6-8,nan,nan,A+,836,9:1,2019-03-19 01:01:35.257326
Pelham Memorial High School,#332 Best Public High Schools in America,Pelham Union Free School District,NY,9-12,3.5,125,A+,853,14:1,2019-03-19 01:01:35.257333
Fox Meadow School,#29 Best Public Elementary Schools in America,Scarsdale Union Free School District,NY,K-5,nan,nan,A+,480,14:1,2019-03-19 01:01:35.257340
Edgewood School,#30 Best Public Elementary Schools in America,Scarsdale Union Free School District,NY,K-5,4.5,4,A+,409,13:1,2019-03-19 01:01:35.257346
Half Hollow Hills High School West,#335 Best Public High Schools in America,Half Hollow Hills Central School District,NY,9-12,4.0,260,A+,"1,303",14:1,2019-03-19 01:01:35.257352
Herricks Middle School,#28 Best Public Middle Schools in America,Herricks Union Free School District,NY,6-8,3.5,5,A+,912,12:1,2019-03-19 01:01:35.257359
Saddle Rock School,#32 Best Public Elementary Schools in America,Great Neck Public Schools,NY,K-5,nan,nan,A+,541,10:1,2019-03-19 01:01:35.257366
Willits Elementary School,#38 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,316,12:1,2019-03-19 01:01:35.257372
Hastings High School,#339 Best Public High Schools in America,Hastings-on-Hudson Union Free School District,NY,9-12,4.0,97,A+,501,12:1,2019-03-19 01:01:35.257379
Bard High School Early College,#343 Best Public High Schools in America,New York City Geographic District No. 1,NY,9-12,3.5,237,A+,535,17:1,2019-03-19 01:01:35.257385
Briarcliff High School,#352 Best Public High Schools in America,Briarcliff Manor Union Free School District,NY,9-12,4.0,72,A+,561,12:1,2019-03-19 01:01:35.257466
Greenville School,#47 Best Public Elementary Schools in America,Edgemont Union Free School District,NY,K-6,nan,nan,A+,480,12:1,2019-03-19 01:01:35.257489
Wheatley School,#363 Best Public High Schools in America,East Williston Union Free School District,NY,8-12,4.0,91,A+,716,11:1,2019-03-19 01:01:35.257498
Seely Place School,#50 Best Public Elementary Schools in America,Edgemont Union Free School District,NY,K-6,5.0,2,A+,521,14:1,2019-03-19 01:01:35.257505
Ithaca Senior High School,#364 Best Public High Schools in America,Ithaca City School District,NY,9-12,3.5,202,A+,"1,349",13:1,2019-03-19 01:01:35.257512
Heathcote School,#53 Best Public Elementary Schools in America,Scarsdale Union Free School District,NY,K-5,nan,nan,A+,380,15:1,2019-03-19 01:01:35.257520
Quaker Ridge School,#54 Best Public Elementary Schools in America,Scarsdale Union Free School District,NY,K-5,nan,nan,A+,443,13:1,2019-03-19 01:01:35.257527
South Woods Middle School,#41 Best Public Middle Schools in America,Syosset Central School District,NY,6-8,4.5,2,A+,716,9:1,2019-03-19 01:01:35.257534
George W Hewlett High School,#392 Best Public High Schools in America,Hewlett-Woodmere Union Free School District,NY,9-12,4.0,172,A+,"1,053",11:1,2019-03-19 01:01:35.257541
Scarsdale Middle School,#46 Best Public Middle Schools in America,Scarsdale Union Free School District,NY,6-8,4.5,7,A+,"1,170",12:1,2019-03-19 01:01:35.257548
Greenacres Elementary School,#68 Best Public Elementary Schools in America,Scarsdale Union Free School District,NY,K-5,nan,nan,A+,388,14:1,2019-03-19 01:01:35.257562
Plainview-Old Bethpage John F Kennedy High School,#407 Best Public High Schools in America,Plainview-Old Bethpage Central School District,NY,9-12,3.5,232,A+,"1,521",12:1,2019-03-19 01:01:35.257569
Great Neck North Middle School,#55 Best Public Middle Schools in America,Great Neck Public Schools,NY,6-8,3.5,4,A+,730,10:1,2019-03-19 01:01:35.257576
Denton Avenue School,#84 Best Public Elementary Schools in America,Herricks Union Free School District,NY,K-5,nan,nan,A+,631,14:1,2019-03-19 01:01:35.257585
Quogue Elementary School,#85 Best Public Elementary Schools in America,Quogue,NY,"PK, K-6",nan,nan,A+,102,5:1,2019-03-19 01:01:35.257591
Bronxville High School,#423 Best Public High Schools in America,Bronxville Union Free School District,NY,9-12,4.0,72,A+,353,12:1,2019-03-19 01:01:35.257598
Niskayuna High School,#424 Best Public High Schools in America,Niskayuna Central School District,NY,9-12,3.5,210,A+,"1,382",14:1,2019-03-19 01:01:35.257685
"New Explorations into Science,Technology & Math School",#439 Best Public High Schools in America,New York City Geographic District No. 1,NY,K-12,3.5,185,A+,"1,736",19:1,2019-03-19 01:01:35.257693
Harborfields High School,#446 Best Public High Schools in America,Harborfields Central School District,NY,9-12,4.0,144,A+,"1,135",16:1,2019-03-19 01:01:35.257706
Roslyn Middle School,#70 Best Public Middle Schools in America,Roslyn Union Free School District,NY,6-8,nan,nan,A+,767,13:1,2019-03-19 01:01:35.257714
The Brooklyn Latin School,#467 Best Public High Schools in America,New York City Geographic District No. 14,NY,9-12,4.0,208,A+,666,16:1,2019-03-19 01:01:35.257721
The Beacon School,#469 Best Public High Schools in America,New York City Geographic District No. 3,NY,9-12,4.0,424,A+,"1,306",23:1,2019-03-19 01:01:35.257728
Half Hollow Hills High School East,#471 Best Public High Schools in America,Half Hollow Hills Central School District,NY,9-12,4.0,420,A+,"1,839",14:1,2019-03-19 01:01:35.257734
East Hills Elementary School,#180 Best Public Elementary Schools in America,Roslyn Union Free School District,NY,2-5,nan,nan,A+,506,12:1,2019-03-19 01:01:35.257742
John F Kennedy School,#184 Best Public Elementary Schools in America,Great Neck Public Schools,NY,K-5,5.0,1,A+,480,9:1,2019-03-19 01:01:35.257749
Center Street School,#185 Best Public Elementary Schools in America,Herricks Union Free School District,NY,K-5,1.0,1,A+,509,12:1,2019-03-19 01:01:35.257756
Shelter Rock Elementary School,#187 Best Public Elementary Schools in America,Manhasset Union Free School District,NY,K-6,nan,nan,A+,744,12:1,2019-03-19 01:01:35.257763
Todd Elementary School,#201 Best Public Elementary Schools in America,Briarcliff Manor Union Free School District,NY,K-5,nan,nan,A+,562,13:1,2019-03-19 01:01:35.257775
Searingtown School,#214 Best Public Elementary Schools in America,Herricks Union Free School District,NY,K-5,nan,nan,A+,487,11:1,2019-03-19 01:01:35.257782
Berry Hill Elementary School,#216 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,4.0,2,A+,386,12:1,2019-03-19 01:01:35.257789
Rye Neck Senior High School,#526 Best Public High Schools in America,Rye Neck Union Free School District,NY,9-12,4.0,67,A+,465,21:1,2019-03-19 01:01:35.257795
Bethlehem Central Senior High School,#527 Best Public High Schools in America,Bethlehem Central School District,NY,9-12,4.0,179,A+,"1,619",17:1,2019-03-19 01:01:35.257802
Bronxville Elementary School,#226 Best Public Elementary Schools in America,Bronxville Union Free School District,NY,K-9,nan,nan,A+,758,15:1,2019-03-19 01:01:35.257809
Robbins Lane Elementary School,#241 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,445,12:1,2019-03-19 01:01:35.257816
Jamesville-Dewitt High School,#549 Best Public High Schools in America,Jamesville-Dewitt Central School District,NY,9-12,4.0,140,A+,959,14:1,2019-03-19 01:01:35.257823
Fayetteville-Manlius Senior High School,#550 Best Public High Schools in America,Fayetteville-Manlius Central School District,NY,9-12,4.0,139,A+,"1,427",15:1,2019-03-19 01:01:35.257830
Garden City High School,#553 Best Public High Schools in America,Garden City Union Free School District,NY,9-12,4.0,108,A+,"1,150",11:1,2019-03-19 01:01:35.257837
Walt Whitman Elementary School,#258 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,256,11:1,2019-03-19 01:01:35.257843
Robert E Bell School,#114 Best Public Middle Schools in America,Chappaqua Central School District,NY,5-8,nan,nan,A+,611,13:1,2019-03-19 01:01:35.257850
Oceanside High School,#567 Best Public High Schools in America,Oceanside Union Free School District,NY,9-12,4.0,261,A+,"1,717",14:1,2019-03-19 01:01:35.257857
North Side School,#271 Best Public Elementary Schools in America,East Williston Union Free School District,NY,K-4,nan,nan,A+,574,13:1,2019-03-19 01:01:35.257864
Charles Campagne School,#273 Best Public Elementary Schools in America,Bethpage Union Free School District,NY,K-5,nan,nan,A+,366,13:1,2019-03-19 01:01:35.257870
Sanford H Calhoun High School,#570 Best Public High Schools in America,Bellmore-Merrick Central High School District,NY,9-12,4.0,183,A+,"1,265",13:1,2019-03-19 01:01:35.257877
Eastchester Senior High School,#572 Best Public High Schools in America,Eastchester Union Free School District,NY,9-12,3.5,78,A+,886,13:1,2019-03-19 01:01:35.257884
Fiorello H Laguardia High School Of Music & Art & Performing Arts,#580 Best Public High Schools in America,New York City Geographic District No. 3,NY,9-12,3.5,960,A+,"2,713",20:1,2019-03-19 01:01:35.257891
Success Academy Charter School - Bedford Stuyvesant Campus No 1,#298 Best Public Elementary Schools in America,Brooklyn,NY,K-5,nan,nan,A+,474,14:1,2019-03-19 01:01:35.257900
Baylis Elementary School,#300 Best Public Elementary Schools in America,Syosset Central School District,NY,K-5,nan,nan,A+,420,13:1,2019-03-19 01:01:35.257907
Ardsley High School,#585 Best Public High Schools in America,Ardsley Union Free School District,NY,9-12,3.5,126,A+,640,11:1,2019-03-19 01:01:35.257914
Penfield Senior High School,#587 Best Public High Schools in America,Penfield Central School District,NY,9-12,4.0,248,A+,"1,454",14:1,2019-03-19 01:01:35.257930
Seven Bridges Middle School,#125 Best Public Middle Schools in America,Chappaqua Central School District,NY,5-8,nan,nan,A+,637,12:1,2019-03-19 01:01:35.257937
French Road Elementary School,#310 Best Public Elementary Schools in America,Brighton Central School District,NY,3-5,nan,nan,A+,865,13:1,2019-03-19 01:01:35.257946
Willets Road School,#128 Best Public Middle Schools in America,East Williston Union Free School District,NY,5-7,4.0,1,A+,415,11:1,2019-03-19 01:01:35.258340
Success Academy Charter School - Bronx 2,#355 Best Public Elementary Schools in America,Bronx,NY,K-6,4.5,4,A+,615,14:1,2019-03-19 01:01:35.258367
Douglas G Grafflin School,#359 Best Public Elementary Schools in America,Chappaqua Central School District,NY,K-4,nan,nan,A+,422,15:1,2019-03-19 01:01:35.258380
Scholars&apos Academy,#627 Best Public High Schools in America,New York City Geographic District No. 27,NY,6-12,4.0,255,A+,"1,306",22:1,2019-03-19 01:01:35.258393
Transit Middle School,#146 Best Public Middle Schools in America,Williamsville Central School District,NY,5-8,4.5,4,A+,973,14:1,2019-03-19 01:01:35.258404
FE Bellows Elementary School,#389 Best Public Elementary Schools in America,Rye Neck Union Free School District,NY,3-5,nan,nan,A+,418,16:1,2019-03-19 01:01:35.258416
Harbor Hill School,#413 Best Public Elementary Schools in America,Roslyn Union Free School District,NY,1-5,nan,nan,A+,492,13:1,2019-03-19 01:01:35.258427
Old Bethpage School,#414 Best Public Elementary Schools in America,Plainview-Old Bethpage Central School District,NY,1-4,nan,nan,A+,329,14:1,2019-03-19 01:01:35.258436
John F Kennedy Middle School,#169 Best Public Middle Schools in America,Bethpage Union Free School District,NY,6-8,2.5,2,A+,679,11:1,2019-03-19 01:01:35.258447
Pasadena Elementary School,#428 Best Public Elementary Schools in America,Plainview-Old Bethpage Central School District,NY,1-4,nan,nan,A+,370,14:1,2019-03-19 01:01:35.258479
HC Crittenden Middle School,#172 Best Public Middle Schools in America,Byram Hills Central School District,NY,6-8,4.0,2,A+,587,11:1,2019-03-19 01:01:35.258491
Munsey Park Elementary School,#439 Best Public Elementary Schools in America,Manhasset Union Free School District,NY,K-6,5.0,1,A+,866,14:1,2019-03-19 01:01:35.258501
Shaker High School,#666 Best Public High Schools in America,North Colonie Central School District,NY,9-12,4.0,102,A+,"1,941",13:1,2019-03-19 01:01:35.258511
Leon M Goldstein High School for the Sciences,#670 Best Public High Schools in America,New York City Geographic District No. 22,NY,8-12,4.0,236,A+,"1,047",19:1,2019-03-19 01:01:35.258521
Harrison High School,#671 Best Public High Schools in America,Harrison Central School District,NY,9-12,4.0,97,A+,"1,075",13:1,2019-03-19 01:01:35.258536
McVey Elementary School,#449 Best Public Elementary Schools in America,East Meadow Union Free School District,NY,K-5,nan,nan,A+,680,14:1,2019-03-19 01:01:35.258546
Manhasset Middle School,#186 Best Public Middle Schools in America,Manhasset Union Free School District,NY,7-8,nan,nan,A+,578,27:1,2019-03-19 01:01:35.258557
Stratford Road School,#472 Best Public Elementary Schools in America,Plainview-Old Bethpage Central School District,NY,K-4,nan,nan,A+,424,12:1,2019-03-19 01:01:35.258568
Scribner Road Elementary School,#476 Best Public Elementary Schools in America,Penfield Central School District,NY,K-5,5.0,1,A+,547,14:1,2019-03-19 01:01:35.258580
Ward Melville Senior High School,#691 Best Public High Schools in America,Three Village Central School District,NY,9-12,3.5,415,A+,"1,861",14:1,2019-03-19 01:01:35.258591
Glen Head Elementary School,#485 Best Public Elementary Schools in America,North Shore Central School District,NY,K-5,nan,nan,A+,380,10:1,2019-03-19 01:01:35.258602
Blind Brook High School,#696 Best Public High Schools in America,Blind Brook-Rye Union Free School District,NY,9-12,4.0,44,A+,521,15:1,2019-03-19 01:01:35.258611
Maple East Elementary School,#506 Best Public Elementary Schools in America,Williamsville Central School District,NY,K-4,nan,nan,A+,615,15:1,2019-03-19 01:01:35.258621
Enders Road Elementary School,#517 Best Public Elementary Schools in America,Fayetteville-Manlius Central School District,NY,K-4,nan,nan,A+,566,17:1,2019-03-19 01:01:35.258631
Croton-Harmon High School,#712 Best Public High Schools in America,Croton-Harmon Union Free School District,NY,9-12,3.5,154,A+,515,13:1,2019-03-19 01:01:35.258642
Westorchard School,#542 Best Public Elementary Schools in America,Chappaqua Central School District,NY,K-4,nan,nan,A+,422,14:1,2019-03-19 01:01:35.258654
Sleepy Hollow High School,#718 Best Public High Schools in America,Union Free School District of the Tarrytowns,NY,9-12,4.0,192,A+,844,15:1,2019-03-19 01:01:35.258665
Laurel Plains Elementary School,#559 Best Public Elementary Schools in America,Clarkstown Central School District,NY,K-5,nan,nan,A+,350,12:1,2019-03-19 01:01:35.258675
Country Parkway Elementary School,#566 Best Public Elementary Schools in America,Williamsville Central School District,NY,K-4,nan,nan,A+,533,15:1,2019-03-19 01:01:35.258686
Merrick Avenue Middle School,#222 Best Public Middle Schools in America,Bellmore-Merrick Central High School District,NY,7-8,nan,nan,A+,848,14:1,2019-03-19 01:01:35.258696
Cobbles Elementary School,#594 Best Public Elementary Schools in America,Penfield Central School District,NY,K-5,nan,nan,A+,489,13:1,2019-03-19 01:01:35.258707
Casey Middle School,#230 Best Public Middle Schools in America,Williamsville Central School District,NY,5-8,nan,nan,A+,710,14:1,2019-03-19 01:01:35.258717
Harris Hill Elementary School,#598 Best Public Elementary Schools in America,Penfield Central School District,NY,K-5,nan,nan,A+,469,12:1,2019-03-19 01:01:35.258758
Twelve Corners Middle School,#235 Best Public Middle Schools in America,Brighton Central School District,NY,6-8,nan,nan,A+,823,11:1,2019-03-19 01:01:35.258874
South Bronx Classical Charter School,#608 Best Public Elementary Schools in America,Bronx,NY,K-8,nan,nan,A+,437,9:1,2019-03-19 01:01:35.258887
Eagle Hill Middle School,#239 Best Public Middle Schools in America,Fayetteville-Manlius Central School District,NY,5-8,5.0,1,A+,641,12:1,2019-03-19 01:01:35.258897
Victor Senior High School,#746 Best Public High Schools in America,Victor Central School District,NY,9-12,4.0,219,A+,"1,369",16:1,2019-03-19 01:01:35.258908
Chatsworth Avenue School,#623 Best Public Elementary Schools in America,Mamaroneck Union Free School District,NY,"PK, K-5",5.0,1,A+,682,17:1,2019-03-19 01:01:35.258918
Williamsville North High School,#751 Best Public High Schools in America,Williamsville Central School District,NY,9-12,4.0,300,A+,"1,274",13:1,2019-03-19 01:01:35.258966
Briarcliff Middle School,#253 Best Public Middle Schools in America,Briarcliff Manor Union Free School District,NY,6-8,nan,nan,A+,346,13:1,2019-03-19 01:01:35.258987
North Shore Senior High School,#755 Best Public High Schools in America,North Shore Central School District,NY,9-12,3.5,116,A+,893,11:1,2019-03-19 01:01:35.258997
Glenwood Landing Elementary School,#643 Best Public Elementary Schools in America,North Shore Central School District,NY,K-5,2.0,1,A+,402,11:1,2019-03-19 01:01:35.259007
Success Academy Charter School - Bronx 1,#646 Best Public Elementary Schools in America,Bronx,NY,K-6,5.0,1,A+,616,14:1,2019-03-19 01:01:35.260695
Sea Cliff Elementary School,#654 Best Public Elementary Schools in America,North Shore Central School District,NY,K-5,nan,nan,A+,337,10:1,2019-03-19 01:01:35.260724
Somers Senior High School,#763 Best Public High Schools in America,Somers Central School District,NY,9-12,3.5,122,A+,"1,073",13:1,2019-03-19 01:01:35.260738
Suffern Senior High School,#764 Best Public High Schools in America,Suffern Central School District,NY,9-12,4.0,241,A+,"1,488",14:1,2019-03-19 01:01:35.260749
William Sidney Mount School,#672 Best Public Elementary Schools in America,Three Village Central School District,NY,K-6,nan,nan,A+,554,15:1,2019-03-19 01:01:35.260760
Barker Road Middle School,#270 Best Public Middle Schools in America,Pittsford Central School District,NY,6-8,5.0,5,A+,752,12:1,2019-03-19 01:01:35.260771
White Plains Senior High School,#780 Best Public High Schools in America,White Plains City School District,NY,9-12,4.0,359,A+,"2,092",14:1,2019-03-19 01:01:35.260781
Kramer Lane Elementary School,#696 Best Public Elementary Schools in America,Bethpage Union Free School District,NY,K-5,5.0,1,A+,343,16:1,2019-03-19 01:01:35.260793
Barnum Woods School,#701 Best Public Elementary Schools in America,East Meadow Union Free School District,NY,K-5,nan,nan,A+,705,15:1,2019-03-19 01:01:35.260805
Rye Middle School,#278 Best Public Middle Schools in America,Rye City School District,NY,6-8,3.0,3,A+,813,16:1,2019-03-19 01:01:35.260880
Tappan Zee High School,#805 Best Public High Schools in America,South Orangetown Central School District,NY,9-12,4.0,202,A+,"1,084",15:1,2019-03-19 01:01:35.260894
Honeoye Falls-Lima Senior High School,#806 Best Public High Schools in America,Honeoye Falls-Lima Central School District,NY,9-12,4.0,127,A+,796,14:1,2019-03-19 01:01:35.260905
HB Mattlin Middle School,#285 Best Public Middle Schools in America,Plainview-Old Bethpage Central School District,NY,5-8,nan,nan,A+,759,12:1,2019-03-19 01:01:35.260939
Midland School,#753 Best Public Elementary Schools in America,Rye City School District,NY,K-5,nan,nan,A+,548,13:1,2019-03-19 01:01:35.260950
Nyack Senior High School,#815 Best Public High Schools in America,Nyack Union Free School District,NY,9-12,4.0,146,A+,937,12:1,2019-03-19 01:01:35.260965
Thomas High School,#817 Best Public High Schools in America,Webster Central School District,NY,9-12,4.0,135,A+,"1,325",14:1,2019-03-19 01:01:35.260984
Hillside Elementary School,#781 Best Public Elementary Schools in America,Hastings-on-Hudson Union Free School District,NY,K-4,4.0,1,A+,561,13:1,2019-03-19 01:01:35.260994
Rye Neck Middle School,#303 Best Public Middle Schools in America,Rye Neck Union Free School District,NY,6-8,nan,nan,A+,357,21:1,2019-03-19 01:01:35.261005
Meadowbrook Elementary School,#796 Best Public Elementary Schools in America,East Meadow Union Free School District,NY,K-5,nan,nan,A+,412,13:1,2019-03-19 01:01:35.261015
Farragut Middle School,#311 Best Public Middle Schools in America,Hastings-on-Hudson Union Free School District,NY,5-8,4.0,1,A+,504,14:1,2019-03-19 01:01:35.261025
NYC Lab High School for Collaborative Studies,#827 Best Public High Schools in America,New York City Geographic District No. 2,NY,9-12,3.5,178,A+,527,14:1,2019-03-19 01:01:35.261035
Parkway School,#816 Best Public Elementary Schools in America,East Meadow Union Free School District,NY,K-5,nan,nan,A+,511,15:1,2019-03-19 01:01:35.261047
Concord Road Elementary School,#840 Best Public Elementary Schools in America,Ardsley Union Free School District,NY,K-4,nan,nan,A+,739,13:1,2019-03-19 01:01:35.261805
Watson School,#844 Best Public Elementary Schools in America,Rockville Centre Union Free School District,NY,K-5,nan,nan,A+,308,14:1,2019-03-19 01:01:35.261821
Fairport Senior High School,#835 Best Public High Schools in America,Fairport Central School District,NY,10-12,4.0,293,A+,"1,524",13:1,2019-03-19 01:01:35.261832
Dows Lane Elementary School,#866 Best Public Elementary Schools in America,Irvington Union Free School District,NY,K-3,nan,nan,A+,541,12:1,2019-03-19 01:01:35.261842
Roaring Brook School,#876 Best Public Elementary Schools in America,Chappaqua Central School District,NY,K-4,nan,nan,A+,459,14:1,2019-03-19 01:01:35.261854
Plainview-Old Bethpage Middle School,#339 Best Public Middle Schools in America,Plainview-Old Bethpage Central School District,NY,5-8,nan,nan,A+,784,11:1,2019-03-19 01:01:35.261863
Westhampton Beach Senior High School,#859 Best Public High Schools in America,Westhampton Beach Union Free School District,NY,9-12,4.0,179,A+,980,13:1,2019-03-19 01:01:35.261874
North Shore Middle School,#349 Best Public Middle Schools in America,North Shore Central School District,NY,6-8,nan,nan,A+,670,10:1,2019-03-19 01:01:35.261884
Walt Whitman High School,#861 Best Public High Schools in America,South Huntington Union Free School District,NY,9-12,4.0,247,A+,"1,871",14:1,2019-03-19 01:01:35.261894
South Side High School,#863 Best Public High Schools in America,Rockville Centre Union Free School District,NY,9-12,4.0,172,A+,"1,037",11:1,2019-03-19 01:01:35.261906
Maspeth High School,#865 Best Public High Schools in America,New York City Geographic District No. 24,NY,9-12,4.0,53,A+,"1,002",17:1,2019-03-19 01:01:35.261933
Bronxville Middle School,#353 Best Public Middle Schools in America,Bronxville Union Free School District,NY,6-9,nan,nan,A+,541,22:1,2019-03-19 01:01:35.261944
Rosendale School,#931 Best Public Elementary Schools in America,Niskayuna Central School District,NY,K-5,nan,nan,A+,328,13:1,2019-03-19 01:01:35.261953
Pelham Middle School,#361 Best Public Middle Schools in America,Pelham Union Free School District,NY,6-8,5.0,1,A+,710,16:1,2019-03-19 01:01:35.261963
Ardsley Middle School,#362 Best Public Middle Schools in America,Ardsley Union Free School District,NY,5-8,3.0,1,A+,642,12:1,2019-03-19 01:01:35.261982
Katonah Elementary School,#946 Best Public Elementary Schools in America,Katonah-Lewisboro Union Free School District,NY,K-5,nan,nan,A+,430,13:1,2019-03-19 01:01:35.261992
