School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
PS 35 - Franz Siegel,nan,New York City Geographic District No. 9,NY,K-5,nan,nan,C,698,13:1,2019-03-19 01:01:35.288947
Van Rensselaer Elementary School,nan,Rensselaer City School District,NY,"PK, K-6",2.5,2,C,693,13:1,2019-03-19 01:01:35.288954
Samuel G Love Elementary School,nan,Jamestown City School District,NY,3-4,nan,nan,C,112,11:1,2019-03-19 01:01:35.288960
PS 92 - Harry T Stewart Sr,nan,New York City Geographic District No. 30,NY,"PK, K-5",nan,nan,C,858,13:1,2019-03-19 01:01:35.288966
PS 288 - The Shirley Tanyhill,nan,New York City Geographic District No. 21,NY,"PK, K-8",nan,nan,C,603,14:1,2019-03-19 01:01:35.289005
Edward A Reynolds West Side High School,nan,New York City Geographic District No. 3,NY,9-12,4.5,6,C,416,12:1,2019-03-19 01:01:35.289027
Pelham Lab High School,nan,New York City Geographic District No. 8,NY,9-11,4.0,16,C,328,14:1,2019-03-19 01:01:35.289034
Norwood-Norfolk Middle School,nan,Norwood-Norfolk Central School District,NY,5-8,nan,nan,C,296,21:1,2019-03-19 01:01:35.289040
Case Middle School,nan,Watertown City School District,NY,7-8,nan,nan,C,535,12:1,2019-03-19 01:01:35.289046
PS 146 - Ann M Short,nan,New York City Geographic District No. 4,NY,"PK, K-5",nan,nan,C,382,11:1,2019-03-19 01:01:35.289052
Tri-Valley Elementary School,nan,Tri-Valley Central School District,NY,"PK, K-6",nan,nan,C,549,12:1,2019-03-19 01:01:35.289058
New Visions Charter High School: Advanced Math & Science III,nan,Brooklyn,NY,9-11,4.0,18,C,350,15:1,2019-03-19 01:01:35.289064
PS 309 - George E Wibecan,nan,New York City Geographic District No. 16,NY,"PK, K-5",nan,nan,C,243,9:1,2019-03-19 01:01:35.289071
PS 115 - Daniel Mucatel School,nan,New York City Geographic District No. 18,NY,"PK, K-5",2.5,2,C,"1,085",15:1,2019-03-19 01:01:35.289077
George Washington Middle School,nan,Jamestown City School District,NY,5-8,nan,nan,C,488,11:1,2019-03-19 01:01:35.289083
West Brooklyn Community High School,nan,New York City Geographic District No. 15,NY,10-12,5.0,7,C,185,12:1,2019-03-19 01:01:35.289089
