School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Mission San Jose Elementary School,"#4,445 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,nan,nan,A,622,28:1,2019-03-19 00:43:04.504208
Arroyo Vista Elementary School,"#4,446 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,605,28:1,2019-03-19 00:43:04.504216
Petaluma Accelerated Charter School,"#1,628 Best Public Middle Schools in America",Petaluma Joint Union High School District,CA,7-8,nan,nan,A,48,23:1,2019-03-19 00:43:04.504223
Parkmont Elementary School,"#4,454 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,5.0,1,A,895,27:1,2019-03-19 00:43:04.504230
Mendocino High School,"#1,840 Best Public High Schools in America",Mendocino Unified School District,CA,9-12,3.5,26,A,192,13:1,2019-03-19 00:43:04.504237
Ladera Ranch Elementary School,"#4,459 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,848,30:1,2019-03-19 00:43:04.504245
Maidu Elementary School,"#4,467 Best Public Elementary Schools in America",Eureka Union School District,CA,K-3,nan,nan,A,468,22:1,2019-03-19 00:43:04.504252
Dixie Elementary School,"#4,476 Best Public Elementary Schools in America",Dixie Elementary School District,CA,K-5,nan,nan,A,397,21:1,2019-03-19 00:43:04.504270
Niles Elementary School,"#4,481 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,nan,nan,A,581,25:1,2019-03-19 00:43:04.504278
Claire Lilienthal Elementary,"#4,486 Best Public Elementary Schools in America",San Francisco Unified School District,CA,K-8,nan,nan,A,678,22:1,2019-03-19 00:43:04.504286
Natomas Pacific Pathways Prep,"#1,852 Best Public High Schools in America",Natomas Unified School District,CA,9-12,4.0,178,A,597,20:1,2019-03-19 00:43:04.504414
Dixon Montessori Charter School,"#4,492 Best Public Elementary Schools in America",Sbe - Dixon Montessori Charter School District,CA,K-8,5.0,1,A,394,22:1,2019-03-19 00:43:04.504428
Mission Preparatory,"#4,500 Best Public Elementary Schools in America",San Francisco,CA,K-8,nan,nan,A,231,26:1,2019-03-19 00:43:04.504436
Bay Laurel Elementary School,"#4,505 Best Public Elementary Schools in America",Las Virgenes Unified School District,CA,K-5,nan,nan,A,600,24:1,2019-03-19 00:43:04.504444
Vista De Las Cruces,"#4,507 Best Public Elementary Schools in America",Gaviota,CA,K-8,nan,nan,A,124,13:1,2019-03-19 00:43:04.504451
Cleveland Charter High School,"#1,861 Best Public High Schools in America",Los Angeles Unified School District,CA,9-12,3.5,880,A,"3,202",27:1,2019-03-19 00:43:04.504458
Teach Elementary School,"#4,509 Best Public Elementary Schools in America",San Luis Coastal Unified School District,CA,4-6,nan,nan,A,185,31:1,2019-03-19 00:43:04.504466
William Hopkins Junior High School,"#1,660 Best Public Middle Schools in America",Fremont Unified School District,CA,7-8,3.5,6,A,"1,017",26:1,2019-03-19 00:43:04.504741
Lexington Elementary School,"#4,530 Best Public Elementary Schools in America",Los Gatos Union School District,CA,K-5,nan,nan,A,163,20:1,2019-03-19 00:43:04.504757
Discovery Elementary School,"#4,535 Best Public Elementary Schools in America",San Marcos Unified School District,CA,K-5,nan,nan,A,"1,041",27:1,2019-03-19 00:43:04.504765
Bud Rank Elementary School,"#4,539 Best Public Elementary Schools in America",Clovis Unified School District,CA,K-6,2.5,3,A,934,28:1,2019-03-19 00:43:04.504772
Canyon Vista Elementary School,"#4,543 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,652,32:1,2019-03-19 00:43:04.504814
Patton Elementary School,"#4,546 Best Public Elementary Schools in America",Garden Grove Unified School District,CA,K-6,5.0,1,A,"1,008",27:1,2019-03-19 00:43:04.504825
Mission Valley Elementary School,"#4,557 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,nan,nan,A,670,25:1,2019-03-19 00:43:04.504832
Brookside Elementary School,"#4,572 Best Public Elementary Schools in America",Ross Valley Elementary School District,CA,K-5,nan,nan,A,369,22:1,2019-03-19 00:43:04.504840
Guin Foss Elementary School,"#4,582 Best Public Elementary Schools in America",Tustin Unified School District,CA,K-5,nan,nan,A,432,31:1,2019-03-19 00:43:04.504847
Ada W Harris Elementary School,"#4,583 Best Public Elementary Schools in America",Cardiff Elementary School District,CA,3-6,nan,nan,A,353,21:1,2019-03-19 00:43:04.504854
Arthur E Wright Middle School,"#1,677 Best Public Middle Schools in America",Las Virgenes Unified School District,CA,6-8,3.5,7,A,875,25:1,2019-03-19 00:43:04.504862
Country Lane Elementary School,"#4,585 Best Public Elementary Schools in America",Moreland Elementary School District,CA,K-5,nan,nan,A,659,23:1,2019-03-19 00:43:04.504869
Quail Lake Environmental Charter School,"#4,591 Best Public Elementary Schools in America",Sanger Unified School District,CA,K-8,nan,nan,A,561,23:1,2019-03-19 00:43:04.504877
Laguna Niguel Elementary School,"#4,596 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,1.0,1,A,542,30:1,2019-03-19 00:43:04.504884
Pleasant Valley High School,"#1,873 Best Public High Schools in America",Chico Unified School District,CA,9-12,3.5,225,A,"1,806",23:1,2019-03-19 00:43:04.504891
Magnolia Elementary School,"#4,601 Best Public Elementary Schools in America",Brawley,CA,K-8,nan,nan,A,124,25:1,2019-03-19 00:43:04.504899
Kellogg Elementary School,"#4,605 Best Public Elementary Schools in America",Goleta Union Elementary School District,CA,K-6,1.0,1,A,417,19:1,2019-03-19 00:43:04.504906
Oceana High School,"#1,874 Best Public High Schools in America",Jefferson Union High School District,CA,9-12,4.0,101,A,622,20:1,2019-03-19 00:43:04.504913
Vista Del Mar Elementary School,"#4,610 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,"1,100",31:1,2019-03-19 00:43:04.504949
Travis Ranch,"#4,613 Best Public Elementary Schools in America",Placentia-Yorba Linda Unified School District,CA,K-8,3.5,2,A,"1,359",27:1,2019-03-19 00:43:04.504960
Marian Bergeson Elementary School,"#4,620 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,4.5,2,A,646,27:1,2019-03-19 00:43:04.504967
Wagon Wheel Elementary School,"#4,629 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,531,31:1,2019-03-19 00:43:04.504975
Palm Desert High School,"#1,881 Best Public High Schools in America",Desert Sands Unified School District,CA,9-12,3.5,480,A,"1,948",26:1,2019-03-19 00:43:04.504983
Chaparral Elementary School,"#4,643 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,868,31:1,2019-03-19 00:43:04.504991
Fred E Weibel Elementary School,"#4,658 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,4.0,1,A,880,29:1,2019-03-19 00:43:04.504998
Neil Cummins Elementary School,"#4,660 Best Public Elementary Schools in America",Larkspur School District,CA,K-5,nan,nan,A,592,24:1,2019-03-19 00:43:04.505006
Rosa Parks Environmental Science Magnet,"#4,667 Best Public Elementary Schools in America",Berkeley Unified School District,CA,K-5,5.0,1,A,463,19:1,2019-03-19 00:43:04.505013
James Logan High School,"#1,895 Best Public High Schools in America",New Haven Unified School District,CA,9-12,4.0,693,A,"3,793",26:1,2019-03-19 00:43:04.505021
Jefferson Middle School,"#1,701 Best Public Middle Schools in America",Torrance Unified School District,CA,6-8,3.0,1,A,639,24:1,2019-03-19 00:43:04.505028
Frank L Huff Elementary School,"#4,686 Best Public Elementary Schools in America",Mountain View Whisman School District,CA,K-5,nan,nan,A,572,26:1,2019-03-19 00:43:04.505035
Novato High School,"#1,900 Best Public High Schools in America",Novato Unified School District,CA,9-12,3.5,414,A,"1,296",20:1,2019-03-19 00:43:04.505042
Louise Van Meter Elementary School,"#4,696 Best Public Elementary Schools in America",Los Gatos Union School District,CA,K-5,nan,nan,A,656,23:1,2019-03-19 00:43:04.505050
Wade Thomas Elementary School,"#4,697 Best Public Elementary Schools in America",Ross Valley Elementary School District,CA,K-5,nan,nan,A,398,22:1,2019-03-19 00:43:04.505057
The Grove School,"#1,903 Best Public High Schools in America",Redlands Unified School District,CA,7-12,4.0,36,A,214,19:1,2019-03-19 00:43:04.505064
Carl Hankey Middle School,"#1,708 Best Public Middle Schools in America",Capistrano Unified School District,CA,6-8,4.5,3,A,236,20:1,2019-03-19 00:43:04.505071
Centerville Junior High School,"#1,710 Best Public Middle Schools in America",Fremont Unified School District,CA,7-8,3.5,3,A,961,22:1,2019-03-19 00:43:04.505078
Chrysalis Charter School,"#4,726 Best Public Elementary Schools in America",Palo Cedro,CA,K-8,nan,nan,A,195,18:1,2019-03-19 00:43:04.505085
Washington Elementary School,"#4,727 Best Public Elementary Schools in America",Burlingame Elementary School District,CA,K-5,nan,nan,A,370,22:1,2019-03-19 00:43:04.505092
Monrovia High School,"#1,912 Best Public High Schools in America",Monrovia Unified School District,CA,9-12,4.0,250,A,"1,781",24:1,2019-03-19 00:43:04.505099
Aptos High School,"#1,913 Best Public High Schools in America",Pajaro Valley Unified School District,CA,9-12,4.0,179,A,"1,409",26:1,2019-03-19 00:43:04.505106
Murwood Elementary School,"#4,746 Best Public Elementary Schools in America",Walnut Creek Elementary School District,CA,K-5,nan,nan,A,379,23:1,2019-03-19 00:43:04.505114
Ardenwood Elementary School,"#4,757 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,3.5,2,A,989,27:1,2019-03-19 00:43:04.505121
Santa Rosa High School,"#1,921 Best Public High Schools in America",Santa Rosa High School District,CA,9-12,4.0,321,A,"1,988",23:1,2019-03-19 00:43:04.505129
Warwick Elementary School,"#4,769 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,nan,nan,A,926,26:1,2019-03-19 00:43:04.505136
Bernice Ayer Middle School,"#1,736 Best Public Middle Schools in America",Capistrano Unified School District,CA,6-8,3.0,1,A,861,24:1,2019-03-19 00:43:04.505144
Foothill Elementary School,"#4,774 Best Public Elementary Schools in America",Goleta Union Elementary School District,CA,K-6,nan,nan,A,446,22:1,2019-03-19 00:43:04.505151
Valley Oak Elementary School,"#4,781 Best Public Elementary Schools in America",Clovis Unified School District,CA,K-6,nan,nan,A,569,27:1,2019-03-19 00:43:04.505159
Middle College High School,"#1,923 Best Public High Schools in America",West Contra Costa Unified School District,CA,9-12,3.5,164,A,278,28:1,2019-03-19 00:43:04.505167
Moulton Elementary School,"#4,787 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,673,30:1,2019-03-19 00:43:04.505174
Mountain House High School,"#1,925 Best Public High Schools in America",Lammersville Joint Unified School District,CA,9-12,3.5,47,A,823,25:1,2019-03-19 00:43:04.505181
Gladstone Elementary School,"#4,792 Best Public Elementary Schools in America",Bonita Unified School District,CA,K-5,nan,nan,A,532,22:1,2019-03-19 00:43:04.505189
Gratton Elementary School,"#4,793 Best Public Elementary Schools in America",Gratton Elementary School District,CA,K-8,nan,nan,A,22,6:1,2019-03-19 00:43:04.505196
Stevenson Ranch Elementary School,"#4,794 Best Public Elementary Schools in America",Newhall School District,CA,K-6,nan,nan,A,793,25:1,2019-03-19 00:43:04.505203
Garden Gate Elementary School,"#4,797 Best Public Elementary Schools in America",Cupertino Union School District,CA,K-5,nan,nan,A,680,24:1,2019-03-19 00:43:04.505209
Malibu High School,"#1,926 Best Public High Schools in America",Santa Monica-Malibu Unified School District,CA,6-12,3.5,104,A,"1,106",21:1,2019-03-19 00:43:04.505217
Loma Vista Elementary School,"#4,804 Best Public Elementary Schools in America",Ventura Unified School District,CA,K-5,nan,nan,A,366,20:1,2019-03-19 00:43:04.505224
Victor Elementary School,"#4,808 Best Public Elementary Schools in America",Torrance Unified School District,CA,K-5,4.0,1,A,988,25:1,2019-03-19 00:43:04.505231
Joshua Chadbourne Elementary School,"#4,826 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,5.0,3,A,788,27:1,2019-03-19 00:43:04.505238
Calavera Hills Middle School,"#1,752 Best Public Middle Schools in America",Carlsbad Unified School District,CA,6-8,5.0,2,A,499,24:1,2019-03-19 00:43:04.505245
Steven Millard Elementary School,"#4,834 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,4.0,1,A,597,25:1,2019-03-19 00:43:04.505252
Emerson Elementary School,"#4,836 Best Public Elementary Schools in America",Berkeley Unified School District,CA,K-5,nan,nan,A,305,21:1,2019-03-19 00:43:04.505270
Glen A Wilson High School,"#1,939 Best Public High Schools in America",Hacienda La Puente Unified School District,CA,9-12,3.5,421,A,"1,594",26:1,2019-03-19 00:43:04.505278
Canyon Elementary School,"#4,848 Best Public Elementary Schools in America",Canyon,CA,K-8,nan,nan,A,70,23:1,2019-03-19 00:43:04.505285
Whitmore Charter High School,"#1,942 Best Public High Schools in America",Ceres Unified School District,CA,9-12,4.0,34,A,138,17:1,2019-03-19 00:43:04.505292
Temescal Valley Elementary School,"#4,860 Best Public Elementary Schools in America",Corona-Norco Unified School District,CA,K-6,3.0,2,A,930,28:1,2019-03-19 00:43:04.505306
Berkeley Arts Magnet at Whittier,"#4,867 Best Public Elementary Schools in America",Berkeley Unified School District,CA,K-5,nan,nan,A,448,22:1,2019-03-19 00:43:04.505313
Terra Vista Elementary School,"#4,872 Best Public Elementary Schools in America",Etiwanda Elementary School District,CA,K-5,nan,nan,A,804,23:1,2019-03-19 00:43:04.505320
Oxford Elementary School,"#4,878 Best Public Elementary Schools in America",Berkeley Unified School District,CA,K-5,nan,nan,A,302,21:1,2019-03-19 00:43:04.505328
Cesar Chavez Elementary School,"#4,885 Best Public Elementary Schools in America",Davis Joint Unified School District,CA,K-6,nan,nan,A,622,25:1,2019-03-19 00:43:04.505353
Lietz Elementary School,"#4,894 Best Public Elementary Schools in America",Union Elementary School District,CA,K-5,nan,nan,A,570,24:1,2019-03-19 00:43:04.505363
Ocean Knoll Elementary School,"#4,907 Best Public Elementary Schools in America",Encinitas Union Elementary School District,CA,K-6,nan,nan,A,604,25:1,2019-03-19 00:43:04.505370
S A Moffett Elementary School,"#4,912 Best Public Elementary Schools in America",Huntington Beach City Elementary School District,CA,K-5,nan,nan,A,559,29:1,2019-03-19 00:43:04.505378
Pico Canyon Elementary School,"#4,925 Best Public Elementary Schools in America",Newhall School District,CA,K-6,nan,nan,A,956,25:1,2019-03-19 00:43:04.505385
Highland Grove Elementary School,"#4,940 Best Public Elementary Schools in America",Redlands Unified School District,CA,K-5,nan,nan,A,533,27:1,2019-03-19 00:43:04.505393
Guajome Park Academy Charter School,"#1,965 Best Public High Schools in America",Vista Unified School District,CA,K-12,4.0,139,A,"1,342",23:1,2019-03-19 00:43:04.505406
Theodore Judah Elementary School,"#4,959 Best Public Elementary Schools in America",Folsom-Cordova Unified School District,CA,K-5,nan,nan,A,578,26:1,2019-03-19 00:43:04.505413
Juan Cabrillo Elementary School,"#4,966 Best Public Elementary Schools in America",Santa Monica-Malibu Unified School District,CA,K-5,5.0,1,A,195,17:1,2019-03-19 00:43:04.505420
Banyan Elementary School,"#4,968 Best Public Elementary Schools in America",Conejo Valley Unified School District,CA,K-5,nan,nan,A,456,24:1,2019-03-19 00:43:04.505428
Granada High School,"#1,968 Best Public High Schools in America",Livermore Valley Joint Unified School District,CA,9-12,4.0,237,A,"2,035",23:1,2019-03-19 00:43:04.505435
Clovis High School,"#1,973 Best Public High Schools in America",Clovis Unified School District,CA,9-12,4.0,409,A,"2,939",22:1,2019-03-19 00:43:04.505443
Henry High School,"#1,974 Best Public High Schools in America",San Diego Unified School District,CA,9-12,3.5,546,A,"2,384",24:1,2019-03-19 00:43:04.505450
Bathgate Elementary School,"#4,982 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,nan,nan,A,670,30:1,2019-03-19 00:43:04.505457
Templeton High School,"#1,976 Best Public High Schools in America",Templeton Unified School District,CA,9-12,4.0,80,A,742,21:1,2019-03-19 00:43:04.505464
El Camino Creek Elementary School,"#5,003 Best Public Elementary Schools in America",Encinitas Union Elementary School District,CA,K-6,3.5,2,A,643,26:1,2019-03-19 00:43:04.505471
Lafayette Elementary School,"#5,008 Best Public Elementary Schools in America",San Francisco Unified School District,CA,K-5,nan,nan,A,543,21:1,2019-03-19 00:43:04.505479
Mountain View Elementary School,"#5,019 Best Public Elementary Schools in America",Goleta Union Elementary School District,CA,K-6,nan,nan,A,343,20:1,2019-03-19 00:43:04.505486
Castille Elementary School,"#5,024 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,5.0,1,A,591,28:1,2019-03-19 00:43:04.505493
Lincoln Elementary School,"#5,034 Best Public Elementary Schools in America",Clovis Unified School District,CA,K-6,nan,nan,A,709,30:1,2019-03-19 00:43:04.505500
Eastbluff Elementary School,"#5,036 Best Public Elementary Schools in America",Newport-Mesa Unified School District,CA,K-6,nan,nan,A,404,21:1,2019-03-19 00:43:04.505507
San Elijo Middle School,"#1,813 Best Public Middle Schools in America",San Marcos Unified School District,CA,6-8,4.5,8,A,"1,981",29:1,2019-03-19 00:43:04.505514
Joseph Arnold Elementary School,"#5,046 Best Public Elementary Schools in America",Torrance Unified School District,CA,K-5,nan,nan,A,727,24:1,2019-03-19 00:43:04.505521
Torrey Pines Elementary School,"#5,053 Best Public Elementary Schools in America",San Diego Unified School District,CA,K-5,4.0,1,A,503,23:1,2019-03-19 00:43:04.505528
Robert Down Elementary School,"#5,066 Best Public Elementary Schools in America",Pacific Grove Unified School District,CA,K-5,nan,nan,A,469,27:1,2019-03-19 00:43:04.505535
Chico High School,"#1,994 Best Public High Schools in America",Chico Unified School District,CA,9-12,4.0,226,A,"1,781",23:1,2019-03-19 00:43:04.505543
Concordia Elementary School,"#5,070 Best Public Elementary Schools in America",Capistrano Unified School District,CA,K-5,5.0,1,A,640,30:1,2019-03-19 00:43:04.505550
Bridges Charter School,"#5,071 Best Public Elementary Schools in America",Thousand Oaks,CA,K-8,nan,nan,A,407,25:1,2019-03-19 00:43:04.505558
Portola Hills Elementary School,"#5,075 Best Public Elementary Schools in America",Saddleback Valley Unified School District,CA,K-6,nan,nan,A,780,29:1,2019-03-19 00:43:04.505565
Mabel M Paine Elementary School,"#5,085 Best Public Elementary Schools in America",Placentia-Yorba Linda Unified School District,CA,K-5,nan,nan,A,466,26:1,2019-03-19 00:43:04.505573
Warm Springs Elementary School,"#5,088 Best Public Elementary Schools in America",Fremont Unified School District,CA,3-6,nan,nan,A,886,28:1,2019-03-19 00:43:04.505581
Chinese Immersion School At Deavila,"#5,092 Best Public Elementary Schools in America",San Francisco Unified School District,CA,K-5,nan,nan,A,405,24:1,2019-03-19 00:43:04.505588
Fieldbrook Elementary School,"#5,097 Best Public Elementary Schools in America",Mckinleyville,CA,K-8,4.0,1,A,147,19:1,2019-03-19 00:43:04.505596
Fort Washington Elementary School,"#5,112 Best Public Elementary Schools in America",Clovis Unified School District,CA,K-6,nan,nan,A,656,29:1,2019-03-19 00:43:04.505602
Oak Valley Elementary School,"#5,139 Best Public Elementary Schools in America",Buellton Union Elementary School District,CA,K-5,nan,nan,A,393,21:1,2019-03-19 00:43:04.505610
Cedarwood Elementary School,"#5,144 Best Public Elementary Schools in America",Clovis Unified School District,CA,K-6,4.0,1,A,781,29:1,2019-03-19 00:43:04.505617
Van Buren Elementary School,"#5,147 Best Public Elementary Schools in America",Placentia-Yorba Linda Unified School District,CA,K-6,nan,nan,A,694,28:1,2019-03-19 00:43:04.505624
Bryn Mawr Elementary School,"#5,165 Best Public Elementary Schools in America",Redlands Unified School District,CA,K-5,5.0,1,A,658,27:1,2019-03-19 00:43:04.505631
Capri Elementary School,"#5,173 Best Public Elementary Schools in America",Encinitas Union Elementary School District,CA,K-6,nan,nan,A,702,25:1,2019-03-19 00:43:04.505639
Spring View Middle School,"#1,859 Best Public Middle Schools in America",Rocklin Unified School District,CA,7-8,nan,nan,A,815,19:1,2019-03-19 00:43:04.505646
Washington High School,"#2,016 Best Public High Schools in America",Fremont Unified School District,CA,9-12,3.5,307,A,"1,822",24:1,2019-03-19 00:43:04.505653
Calavera Hills Elementary School,"#5,187 Best Public Elementary Schools in America",Carlsbad Unified School District,CA,K-5,nan,nan,A,483,26:1,2019-03-19 00:43:04.505660
Naples Elementary School,"#5,190 Best Public Elementary Schools in America",Long Beach Unified School District,CA,K-5,5.0,1,A,372,29:1,2019-03-19 00:43:04.505667
O N Hirsch Elementary School,"#5,195 Best Public Elementary Schools in America",Fremont Unified School District,CA,K-6,nan,nan,A,543,29:1,2019-03-19 00:43:04.505675
The High School at Moorpark College,"#2,019 Best Public High Schools in America",Moorpark Unified School District,CA,11-12,4.0,72,A,82,23:1,2019-03-19 00:43:04.505682
Frances Ellen Watkins Harper Junior High School,"#1,871 Best Public Middle Schools in America",Davis Joint Unified School District,CA,7-9,nan,nan,A,622,21:1,2019-03-19 00:43:04.505689
Point Loma High School,"#2,022 Best Public High Schools in America",San Diego Unified School District,CA,9-12,3.5,724,A,"1,915",24:1,2019-03-19 00:43:04.505697
College Prep High School,"#2,026 Best Public High Schools in America",Hemet Unified School District,CA,9-12,4.0,7,A,69,14:1,2019-03-19 00:43:04.505704
Hewes Middle School,"#1,875 Best Public Middle Schools in America",Tustin Unified School District,CA,6-8,4.0,14,A,983,28:1,2019-03-19 00:43:04.505711
Valencia Elementary School,"#5,219 Best Public Elementary Schools in America",Saddleback Valley Unified School District,CA,K-6,nan,nan,A,681,28:1,2019-03-19 00:43:04.505734
Nicasio,"#5,230 Best Public Elementary Schools in America",Nicasio,CA,K-8,nan,nan,A,50,17:1,2019-03-19 00:43:04.505743
Maple Elementary School,"#5,240 Best Public Elementary Schools in America",Conejo Valley Unified School District,CA,K-5,nan,nan,A,309,18:1,2019-03-19 00:43:04.505750
Kastner Intermediate,"#1,890 Best Public Middle Schools in America",Clovis Unified School District,CA,7-8,nan,nan,A,"1,041",23:1,2019-03-19 00:43:04.505773
Edison Elementary School,"#5,254 Best Public Elementary Schools in America",Santa Monica-Malibu Unified School District,CA,K-5,nan,nan,A,433,24:1,2019-03-19 00:43:04.505877
Towers Elementary School,"#5,259 Best Public Elementary Schools in America",Torrance Unified School District,CA,K-5,nan,nan,A,614,27:1,2019-03-19 00:43:04.505886
Villa Park High School,"#2,035 Best Public High Schools in America",Orange Unified School District,CA,9-12,3.5,350,A,"2,466",27:1,2019-03-19 00:43:04.505930
Arroyo Seco Junior High School,"#1,893 Best Public Middle Schools in America",William S. Hart Union High School District,CA,7-8,4.0,4,A,"1,220",25:1,2019-03-19 00:43:04.505964
Oakland Charter High School,"#2,036 Best Public High Schools in America",Oakland Unified School District,CA,9-12,3.0,134,A,403,19:1,2019-03-19 00:43:04.505974
Oak Hills Elementary School,"#5,265 Best Public Elementary Schools in America",Newhall School District,CA,K-6,nan,nan,A,589,26:1,2019-03-19 00:43:04.505982
Garfield Elementary School,"#5,272 Best Public Elementary Schools in America",Clovis Unified School District,CA,K-6,4.5,2,A,719,27:1,2019-03-19 00:43:04.505989
Indian Valley Elementary School,"#5,279 Best Public Elementary Schools in America",Walnut Creek Elementary School District,CA,K-5,nan,nan,A,419,23:1,2019-03-19 00:43:04.505997
Heinz Kaiser Elementary School,"#5,290 Best Public Elementary Schools in America",Newport-Mesa Unified School District,CA,3-6,4.5,6,A,707,28:1,2019-03-19 00:43:04.506004
Wilson Elementary School,"#5,304 Best Public Elementary Schools in America",Petaluma,CA,K-6,nan,nan,A,235,21:1,2019-03-19 00:43:04.506012
Greenhills Elementary School,"#5,313 Best Public Elementary Schools in America",Eureka Union School District,CA,K-3,nan,nan,A,398,22:1,2019-03-19 00:43:04.506019
Patwin Elementary School,"#5,317 Best Public Elementary Schools in America",Davis Joint Unified School District,CA,K-6,nan,nan,A,404,26:1,2019-03-19 00:43:04.506251
Toro Park Elementary School,"#5,318 Best Public Elementary Schools in America",Washington Union Elementary School District,CA,K-3,nan,nan,A,386,23:1,2019-03-19 00:43:04.506275
Folsom Hills Elementary School,"#5,322 Best Public Elementary Schools in America",Folsom-Cordova Unified School District,CA,K-5,nan,nan,A,610,27:1,2019-03-19 00:43:04.506284
Edgewood High School,"#2,049 Best Public High Schools in America",West Covina Unified School District,CA,9-12,4.0,104,A,864,25:1,2019-03-19 00:43:04.506291
Southside Elementary School,"#5,328 Best Public Elementary Schools in America",Hollister,CA,K-8,nan,nan,A,241,30:1,2019-03-19 00:43:04.506306
Colina Middle School,"#1,912 Best Public Middle Schools in America",Conejo Valley Unified School District,CA,6-8,nan,nan,A,971,23:1,2019-03-19 00:43:04.506314
Empire Oaks Elementary School,"#5,333 Best Public Elementary Schools in America",Folsom-Cordova Unified School District,CA,K-5,nan,nan,A,540,25:1,2019-03-19 00:43:04.506320
Adams Middle School,"#1,913 Best Public Middle Schools in America",Redondo Beach Unified School District,CA,6-8,3.0,3,A,994,25:1,2019-03-19 00:43:04.506328
Parkmead Elementary School,"#5,343 Best Public Elementary Schools in America",Walnut Creek Elementary School District,CA,K-5,nan,nan,A,423,22:1,2019-03-19 00:43:04.506335
Santa Rosa Accelerated Charter School,"#1,925 Best Public Middle Schools in America",Santa Rosa High School District,CA,5-6,5.0,1,A,128,28:1,2019-03-19 00:43:04.506343
Gant Elementary School,"#5,386 Best Public Elementary Schools in America",Long Beach Unified School District,CA,K-5,nan,nan,A,587,27:1,2019-03-19 00:43:04.506350
Hope Elementary School,"#5,419 Best Public Elementary Schools in America",Hope Elementary School District (Santa Barbara),CA,K-6,4.0,4,A,316,19:1,2019-03-19 00:43:04.506358
Learning Post High School,"#2,071 Best Public High Schools in America",William S. Hart Union High School District,CA,7-12,3.5,24,A,170,24:1,2019-03-19 00:43:04.506366
Oak Mesa Elementary School,"#5,430 Best Public Elementary Schools in America",Bonita Unified School District,CA,K-5,4.0,2,A,591,25:1,2019-03-19 00:43:04.506374
Sonora High School,"#2,073 Best Public High Schools in America",Fullerton Joint Union High School District,CA,9-12,4.0,306,A,"1,882",28:1,2019-03-19 00:43:04.506381
West Hills High School,"#2,074 Best Public High Schools in America",Grossmont Union High School District,CA,9-12,4.0,481,A,"1,942",27:1,2019-03-19 00:43:04.506389
Goddard Middle School,"#1,949 Best Public Middle Schools in America",Glendora Unified School District,CA,6-8,1.0,1,A,942,25:1,2019-03-19 00:43:04.506396
Monte Vista Elementary School,"#5,442 Best Public Elementary Schools in America",Glendale Unified School District,CA,K-6,nan,nan,A,764,26:1,2019-03-19 00:43:04.506403
La Paz Intermediate,"#1,951 Best Public Middle Schools in America",Saddleback Valley Unified School District,CA,7-8,nan,nan,A,889,26:1,2019-03-19 00:43:04.506410
Clarendon Alternative Elementary School,"#5,445 Best Public Elementary Schools in America",San Francisco Unified School District,CA,K-5,nan,nan,A,552,23:1,2019-03-19 00:43:04.506417
Frank Otis Elementary School,"#5,466 Best Public Elementary Schools in America",Alameda City Unified School District,CA,K-5,nan,nan,A,593,26:1,2019-03-19 00:43:04.506425
Tustin Ranch Elementary School,"#5,493 Best Public Elementary Schools in America",Tustin Unified School District,CA,K-5,nan,nan,A,654,30:1,2019-03-19 00:43:04.506432
Ethan B Allen Elementary School,"#5,500 Best Public Elementary Schools in America",Garden Grove Unified School District,CA,K-6,4.0,12,A,821,28:1,2019-03-19 00:43:04.506439
Adolfo Camarillo High School,"#2,089 Best Public High Schools in America",Oxnard Union High School District,CA,9-12,3.5,529,A,"2,418",27:1,2019-03-19 00:43:04.506446
Liberty High School,"#2,090 Best Public High Schools in America",Kern Union High School District,CA,9-12,4.0,296,A,"2,043",31:1,2019-03-19 00:43:04.506454
Lincoln Alternative Elementary School,"#5,508 Best Public Elementary Schools in America",Corona-Norco Unified School District,CA,K-6,nan,nan,A,908,28:1,2019-03-19 00:43:04.506460
Baywood Elementary School,"#5,510 Best Public Elementary Schools in America",San Mateo-Foster City School District,CA,K-5,3.5,7,A,739,25:1,2019-03-19 00:43:04.506468
