School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Austin Elementary School,nan,Memphis Ind School District,TX,3-5,nan,nan,C+,110,13:1,2019-03-18 22:11:28.936196
Meyer Elementary School,nan,Spring Ind School District,TX,"PK, K-5",nan,nan,C+,629,14:1,2019-03-18 22:11:28.936203
Life School - Oak Cliff,nan,Dallas,TX,K-12,3.5,96,C+,"1,539",14:1,2019-03-18 22:11:28.936209
Greenwood Elementary School,nan,Greenwood Ind School District,TX,"PK, K-5",nan,nan,C+,"1,151",19:1,2019-03-18 22:11:28.936215
Irene M Garcia Middle School,nan,La Joya Ind School District,TX,6-10,5.0,1,C+,788,15:1,2019-03-18 22:11:28.936222
Grape Creek Int,nan,Grape Creek Ind School District,TX,3-5,nan,nan,C+,254,14:1,2019-03-18 22:11:28.936229
Cheatham Elementary School,nan,Clarksville Ind School District,TX,"PK, K-5",nan,nan,C+,280,14:1,2019-03-18 22:11:28.936235
Bonham High School,nan,Bonham Ind School District,TX,9-12,3.0,125,C+,509,12:1,2019-03-18 22:11:28.936242
Hartman Middle School,nan,Houston Ind School District,TX,6-8,nan,nan,C+,"1,357",17:1,2019-03-18 22:11:28.936248
Harlandale High School,nan,Harlandale Ind School District,TX,9-12,3.5,247,C+,"1,950",14:1,2019-03-18 22:11:28.936273
Lamar Middle School,nan,Temple Ind School District,TX,6-9,nan,nan,C+,653,13:1,2019-03-18 22:11:28.936282
Buna Junior High School,nan,Buna Ind School District,TX,6-8,nan,nan,C+,357,14:1,2019-03-18 22:11:28.936288
Roque Guerra Jr Elementary School,nan,Rio Grande City Consolidated Ind School District,TX,"PK, K-5",nan,nan,C+,800,16:1,2019-03-18 22:11:28.936294
Scroggins Elementary School,nan,Houston Ind School District,TX,"PK, K-5",nan,nan,C+,612,16:1,2019-03-18 22:11:28.936301
Evans Special Emphasis Elementary School,nan,Corpus Christi Ind School District,TX,"PK, K-5",nan,nan,C+,443,15:1,2019-03-18 22:11:28.936308
Hastings High School,nan,Alief Ind School District,TX,9-12,3.5,677,C+,"3,948",14:1,2019-03-18 22:11:28.936315
Borman Elementary School,nan,Denton Ind School District,TX,"PK, K-5",nan,nan,C+,445,11:1,2019-03-18 22:11:28.936322
Bloomburg High School,nan,Bloomburg Ind School District,TX,6-12,nan,nan,C+,134,8:1,2019-03-18 22:11:28.936328
Henry Ford Elementary School,nan,Pharr-San Juan-Alamo Ind School District,TX,"PK, K-5",nan,nan,C+,835,17:1,2019-03-18 22:11:28.936335
Groesbeck Middle School,nan,Groesbeck Ind School District,TX,7-8,nan,nan,C+,246,12:1,2019-03-18 22:11:28.936342
Devonian Elementary School,nan,Andrews Ind School District,TX,2-3,nan,nan,C+,641,14:1,2019-03-18 22:11:28.936349
Adams Elementary School,nan,Cleburne Ind School District,TX,K-5,nan,nan,C+,435,15:1,2019-03-18 22:11:28.936356
South Hills High School,nan,Fort Worth Ind School District,TX,9-12,4.0,399,C+,"2,055",17:1,2019-03-18 22:11:28.936362
